width,height,webaudio,browser,browser_version,mobile,os,fullscreen,vsync_rate,webcam,microphone,trial_type,trial_index,plugin_version,time_elapsed,subjID,condition,stimID,rt,url,success,value,timeout,failed_images,failed_audio,failed_video,view_history,stimulus,response,trialType,cycle,phase,trial,resp,cat,token,corr,resp_num,cat_num,rt_ref,rt_paired,ref_cat_num,paired_cat_num,ref_cat,paired_cat,text_Pegmatite,text_Peridotite,time_obs,time_resp,text_Basalt,text_Gabbro,text_Andesite,text_Diorite,time_fb1,time_fb2
,,,,,,,,,,,html-button-response,21,2.0.0,143455,66d88375799e00b593a8655f,4,32,3443,,,,,,,,,"<img src= ""rock_img/I_Obsidian_11.jpg"" style=""width:8cm; height:6.05cm;""><p>What type of rock is this?</p>",4,class_response,0,test,8,Obsidian,Obsidian,11,TRUE,5,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,22,2.0.0,143958,66d88375799e00b593a8655f,4,32,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,8,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,23,2.0.0,151065,66d88375799e00b593a8655f,4,32,7106,,,,,,,,,"<img src= ""rock_img/I_Pumice_02.jpg"" style=""width:8cm; height:7.3999999999999995cm;""><p>What type of rock is this?</p>",1,class_response,0,test,9,Basalt,Pumice,2,FALSE,2,8,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,24,2.0.0,151571,66d88375799e00b593a8655f,4,32,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,25,2.0.0,154689,66d88375799e00b593a8655f,4,32,3117,,,,,,,,,"<img src= ""rock_img/I_Obsidian_14.jpg"" style=""width:8cm; height:7.64cm;""><p>What type of rock is this?</p>",4,class_response,0,test,10,Obsidian,Obsidian,14,TRUE,5,5,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,26,2.0.0,155201,66d88375799e00b593a8655f,4,32,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,27,2.0.0,158958,66d88375799e00b593a8655f,4,32,3756,,,,,,,,,"<img src= ""rock_img/I_Basalt_11.jpg"" style=""width:8cm; height:5.359999999999999cm;""><p>What type of rock is this?</p>",5,class_response,0,test,11,Pegmatite,Basalt,11,FALSE,6,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,28,2.0.0,159462,66d88375799e00b593a8655f,4,32,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,11,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-button-response,29,2.0.0,164832,66d88375799e00b593a8655f,4,32,5369,,,,,,,,,"<img src= ""rock_img/I_Basalt_05.jpg"" style=""width:8cm; height:8.18cm;""><p>What type of rock is this?</p>",2,class_response,0,test,12,Diorite,Basalt,5,FALSE,3,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,html-keyboard-response,30,2.0.0,165341,66d88375799e00b593a8655f,4,32,null,,,,,,,,,<p style='font-size: 30px;'><strong>Okay</strong></p>,null,neutral_feedback,0,test,12,,,,,,,,,,,,,,,,,,,,,,
